Rank,Name,1 - Least Walkable,2 - Below Avg,3 - Above Avg,4 - Most Walkable,Avg Walkability Index
1,"Santa Monica, California",0.0,0.0,27541.0,64036.0,8.258356068491114
2,"San Francisco, California",0.0,9190.0,284023.0,581748.0,8.10433650005092
3,"Berkeley, California",0.0,0.0,51145.0,71685.0,8.072412877018728
4,"Cambridge, Massachusetts",0.0,0.0,47032.0,73465.0,8.026712174096495
5,"Allentown, Pennsylvania",0.0,593.0,37706.0,84329.0,7.999060702200749
6,"Seattle, Washington",1232.0,10425.0,287718.0,439819.0,7.98705677720385
7,"Providence, Rhode Island",0.0,0.0,83051.0,99932.0,7.913623267275044
8,"Evanston, Illinois",0.0,0.0,33302.0,44082.0,7.888331329201735
9,"Pawtucket, Rhode Island",0.0,0.0,39130.0,43644.0,7.869960437615167
10,"Somerville, Massachusetts",0.0,0.0,41427.0,47444.0,7.866613287503054
11,"Alameda, California",0.0,75.0,32732.0,45715.0,7.8652821401712405
12,"Union City, New Jersey",0.0,0.0,35199.0,41581.0,7.836017466171289
13,"Portland, Oregon",3848.0,47704.0,228452.0,415843.0,7.80516259132282
14,"Miami Beach, Florida",1609.0,803.0,35067.0,53012.0,7.769640656325811
15,"Passaic, New Jersey",0.0,0.0,42496.0,36893.0,7.7222467516711495
16,"Miami, Florida",0.0,11854.0,233409.0,228189.0,7.70462258831774
17,"Westminster, California",0.0,1038.0,50722.0,44992.0,7.665195551513148
18,"Boston, Massachusetts",457.0,8856.0,364334.0,334873.0,7.645176899511807
19,"Mountain View, California",0.0,1220.0,50108.0,39236.0,7.63814917743544
20,"Minneapolis, Minnesota",0.0,2909.0,252050.0,173124.0,7.5859667278000815
21,"Philadelphia, Pennsylvania",0.0,28705.0,886178.0,680509.0,7.571382439979773
22,"Pittsburgh, Pennsylvania",997.0,11667.0,167493.0,124843.0,7.556786540120794
23,"Lawrence, Massachusetts",0.0,0.0,57284.0,30222.0,7.552152514053175
24,"Wilmington, Delaware",0.0,0.0,46201.0,28257.0,7.538654783834335
25,"Quincy, Massachusetts",0.0,3526.0,50759.0,42722.0,7.527834941916831
26,"Cicero, Illinois",0.0,0.0,48219.0,34993.0,7.52574021459455
27,"Clifton, New Jersey",0.0,2298.0,44186.0,40040.0,7.513941674838013
28,"Trenton, New Jersey",0.0,1194.0,57635.0,32076.0,7.484057966819034
29,"Lowell, Massachusetts",0.0,5847.0,59751.0,47933.0,7.476470604597214
30,"Pleasanton, California",0.0,12621.0,33188.0,47164.0,7.467300353752957
31,"New Bedford, Massachusetts",1688.0,3065.0,51259.0,39227.0,7.466217123568904
32,"Torrance, California",0.0,2026.0,89368.0,62874.0,7.465688555664579
33,"Sunnyvale, California",0.0,6523.0,93544.0,62467.0,7.453032984839449
34,"Bethlehem, Pennsylvania",0.0,2850.0,47135.0,26707.0,7.451994581195595
35,"Paterson, New Jersey",0.0,4546.0,98971.0,59917.0,7.4371412120005935
