Rank,Name,1 - Least Walkable,2 - Below Avg,3 - Above Avg,4 - Most Walkable,Avg Walkability Index
1,"San Francisco County, California",0.0,9190.0,284023.0,581748.0,8.10433650005092
2,"Falls Church city, Virginia",0.0,0.0,2360.0,11768.0,8.095757957322519
3,"Fairfax city, Virginia",0.0,0.0,8793.0,14738.0,7.948478938197987
4,"Multnomah County, Oregon",9350.0,45584.0,308923.0,440749.0,7.716530529424207
5,"Suffolk County, Massachusetts",524.0,7261.0,415322.0,373498.0,7.64607896867595
6,"Philadelphia County, Pennsylvania",0.0,28705.0,878777.0,671593.0,7.574218883973545
7,"Harrisonburg city, Virginia",0.0,1785.0,30935.0,20553.0,7.562615406046511
8,"Hudson County, New Jersey",0.0,15726.0,402199.0,252121.0,7.412470267163119
9,"Richmond County, New York",0.0,8936.0,302441.0,163516.0,7.392179867221058
10,"Denver County, Colorado",1250.0,32485.0,403457.0,268384.0,7.368682764898913
11,"Alexandria city, Virginia",0.0,13836.0,80944.0,62833.0,7.365049369758773
12,"Charlottesville city, Virginia",0.0,2180.0,26270.0,18646.0,7.35056111592894
13,"Lexington city, Virginia",0.0,1429.0,2920.0,2892.0,7.33716991692045
14,"Queens County, New York",1746.0,138717.0,1323796.0,823129.0,7.308994835571127
15,"Arlington County, Virginia",1493.0,12404.0,136326.0,83241.0,7.257132509554048
16,"Baltimore city, Maryland",0.0,26926.0,397081.0,185025.0,7.254030079484199
17,"St. Louis city, Missouri",0.0,14075.0,189772.0,104327.0,7.231147014349037
18,"Alameda County, California",13265.0,130973.0,954353.0,558163.0,7.207857733603748
19,"Nassau County, New York",8014.0,155872.0,700365.0,492258.0,7.159495905724878
20,"Nantucket County, Massachusetts",0.0,0.0,8054.0,3114.0,7.153137253053838
21,"Lynchburg city, Virginia",3118.0,806.0,52234.0,24411.0,7.061818212699021
22,"Miami-Dade County, Florida",30007.0,268752.0,1557470.0,843199.0,7.0614713853999325
23,"New York County, New York",0.0,216851.0,832150.0,582992.0,7.049171747285938
24,"Kings County, New York",8.0,296399.0,1561698.0,731869.0,7.021813224461143
25,"Orleans Parish, Louisiana",854.0,28453.0,259519.0,102019.0,7.006442518941753
26,"Santa Clara County, California",37445.0,210762.0,1061857.0,617406.0,7.003556803259687
27,"Richmond city, Virginia",2004.0,21078.0,140102.0,63438.0,6.976391593885294
28,"Cook County, Illinois",58385.0,717968.0,2800787.0,1621135.0,6.967462814714092
29,"Los Angeles County, California",188892.0,1375055.0,5442147.0,3070409.0,6.9032019603584605
30,"Passaic County, New Jersey",24925.0,50025.0,268552.0,160135.0,6.9020621368585955
31,"Milwaukee County, Wisconsin",20626.0,116565.0,571212.0,242823.0,6.870624303461228
32,"Bergen County, New Jersey",17261.0,150390.0,468037.0,294702.0,6.859847992437806
33,"Essex County, New Jersey",11256.0,80785.0,516289.0,187074.0,6.825429229078953
34,"Orange County, California",52961.0,488058.0,1721840.0,905185.0,6.803165039440906
35,"Providence County, Rhode Island",42105.0,100384.0,270693.0,222555.0,6.792595092492319
36,"Yolo County, California",13758.0,7299.0,141006.0,55289.0,6.79238940084578
37,"Silver Bow County, Montana",2213.0,4648.0,14925.0,12984.0,6.78800236138232
38,"Norfolk city, Virginia",249.0,35656.0,166559.0,42137.0,6.741239599872531
39,"Union County, New Jersey",8802.0,84964.0,333330.0,126937.0,6.738664863873301
40,"Bronx County, New York",6864.0,246077.0,859365.0,322762.0,6.733490934520909
41,"Manassas city, Virginia",0.0,5081.0,27024.0,9069.0,6.705252164753949
42,"Salt Lake County, Utah",32964.0,188809.0,596534.0,315339.0,6.7008299583356425
43,"Delaware County, Pennsylvania",10763.0,120466.0,277707.0,155618.0,6.699401931249689
44,"Sitka City and Borough, Alaska",122.0,1079.0,5162.0,2277.0,6.69197733918129
45,"King County, Washington",144484.0,314813.0,1071790.0,664415.0,6.680060138745874
46,"Ramsey County, Minnesota",19740.0,82388.0,304700.0,137614.0,6.668437061296365
47,"Roanoke city, Virginia",5832.0,8843.0,64317.0,20237.0,6.655621154893703
48,"Westchester County, New York",48352.0,143810.0,531525.0,245203.0,6.623808199399096
49,"Lancaster County, Nebraska",20018.0,40935.0,180621.0,71584.0,6.597851395680204
