Rank,Name,1 - Least Walkable,2 - Below Avg,3 - Above Avg,4 - Most Walkable,Avg Walkability Index
1,"Los Angeles-Long Beach, CA",776431.0,3459791.0,9910630.0,4505428.0,6.546610888433225
2,"San Jose-San Francisco-Oakland, CA",507039.0,1985410.0,4659616.0,2449478.0,6.492787765576078
3,"Portland-Vancouver-Salem, OR-WA",413191.0,577297.0,1319848.0,881036.0,6.282554089753971
4,"Lincoln-Beatrice, NE",32821.0,65216.0,182302.0,71584.0,6.269350936067505
5,"New York-Newark, NY-NJ-CT-PA",1468638.0,5683930.0,10459038.0,5054529.0,6.26830695707611
6,"Miami-Port St. Lucie-Fort Lauderdale, FL",325667.0,1810618.0,3429832.0,1226342.0,6.208521720461191
7,"Fargo-Wahpeton, ND-MN",40906.0,40419.0,140573.0,41068.0,6.05241241913603
8,"Salt Lake City-Provo-Orem, UT",179277.0,729156.0,1169917.0,475170.0,6.031664299105795
9,"Las Vegas-Henderson, NV",149404.0,629762.0,1103007.0,344211.0,6.015006384201562
10,"Denver-Aurora, CO",307828.0,984653.0,1600896.0,626544.0,5.981824808897101
11,"Sacramento-Roseville, CA",254067.0,643869.0,1275054.0,414703.0,5.973187497003783
12,"Chicago-Naperville, IL-IN-WI",848657.0,3184565.0,3979190.0,1865564.0,5.930062134932137
13,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",703404.0,2238405.0,2866505.0,1376637.0,5.902120509645055
14,"Seattle-Tacoma, WA",810858.0,1051240.0,1972229.0,933016.0,5.811598658668053
15,"Boston-Worcester-Providence, MA-RI-NH-CT",1215398.0,2610098.0,2780023.0,1623768.0,5.682077019872022
16,"Fresno-Madera-Hanford, CA",214722.0,327134.0,599987.0,148802.0,5.575766033751789
17,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1493359.0,3017876.0,3903065.0,1303390.0,5.537354840827181
18,"Phoenix-Mesa, AZ",633477.0,1521742.0,2152450.0,507480.0,5.511831983425205
19,"Milwaukee-Racine-Waukesha, WI",304121.0,720338.0,729068.0,292788.0,5.491715351742034
20,"Kennewick-Richland-Walla Walla, WA",77401.0,66816.0,165578.0,40097.0,5.475114426286126
21,"Buffalo-Cheektowaga-Olean, NY",202710.0,366645.0,511890.0,126051.0,5.393887139873778
22,"El Paso-Las Cruces, TX-NM",172518.0,296647.0,521551.0,65830.0,5.392821564448286
23,"Albuquerque-Santa Fe-Las Vegas, NM",212146.0,337871.0,459639.0,141803.0,5.37996713643071
24,"Medford-Grants Pass, OR",88316.0,51698.0,114704.0,48107.0,5.37986782360839
25,"Madison-Janesville-Beloit, WI",173972.0,292633.0,321643.0,91551.0,5.264197994745331
26,"Minneapolis-St. Paul, MN-WI",667809.0,1519180.0,1318064.0,452083.0,5.256243384370069
27,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",169969.0,201004.0,244954.0,91555.0,5.248876370892233
28,"Corpus Christi-Kingsville-Alice, TX",103548.0,179846.0,208009.0,45389.0,5.201769518096198
29,"Virginia Beach-Norfolk, VA-NC",318033.0,653514.0,767914.0,111434.0,5.186343207219382
30,"Syracuse-Auburn, NY",202147.0,136840.0,282077.0,66627.0,5.177031468157096
31,"Boise City-Mountain Home-Ontario, ID-OR",107179.0,393345.0,193939.0,96695.0,5.17403962559345
32,"Bloomington-Pontiac, IL",54677.0,49899.0,82946.0,21096.0,5.159256833567875
33,"North Port-Sarasota, FL",177328.0,401772.0,338590.0,103989.0,5.159047225719933
34,"Tucson-Nogales, AZ",235615.0,297463.0,419684.0,88049.0,5.145844847001648
35,"San Antonio-New Braunfels-Pearsall, TX",453478.0,929188.0,897333.0,208065.0,5.129883759124828
36,"Erie-Meadville, PA",107852.0,77137.0,129877.0,44634.0,5.112172974160018
37,"Burlington-South Burlington-Barre, VT",63122.0,97300.0,89097.0,27615.0,5.095156228812739
38,"Omaha-Council Bluffs-Fremont, NE-IA",163192.0,424424.0,295664.0,85164.0,5.08719567840675
39,"Hartford-East Hartford, CT",341485.0,461860.0,567032.0,104690.0,5.073041998841587
40,"Des Moines-Ames-West Des Moines, IA",129730.0,376256.0,314404.0,38696.0,5.041876605209674
41,"Cedar Rapids-Iowa City, IA",87682.0,177805.0,135204.0,40042.0,5.0393861804622855
42,"Houston-The Woodlands, TX",957129.0,3618871.0,1838922.0,655051.0,5.025124729315761
43,"Amarillo-Pampa-Borger, TX",75869.0,89880.0,118138.0,24448.0,5.019957957553003
44,"Pittsburgh-New Castle-Weirton, PA-OH-WV",583113.0,1066430.0,658017.0,313859.0,5.00697677579646
45,"Dallas-Fort Worth, TX-OK",1305168.0,3475400.0,2442183.0,566884.0,5.006584052837013
46,"St. Louis-St. Charles-Farmington, MO-IL",544525.0,1290317.0,823593.0,251141.0,4.964246924818708
47,"Bend-Prineville, OR",60850.0,72928.0,55833.0,19651.0,4.963244892200107
48,"Lafayette-West Lafayette-Frankfort, IN",86325.0,42289.0,100462.0,31738.0,4.955280895883455
49,"Kansas City-Overland Park-Kansas City, MO-KS",446607.0,1124618.0,715073.0,180191.0,4.9446833983554415
50,"State College-DuBois, PA",78666.0,60484.0,69590.0,33128.0,4.93924807180602
51,"Reno-Carson City-Fernley, NV",156929.0,220475.0,174896.0,65909.0,4.937052798785218
52,"Wichita-Winfield, KS",135928.0,276849.0,217177.0,43087.0,4.917156528901541
53,"New Orleans-Metairie-Hammond, LA-MS",333965.0,626644.0,416549.0,124330.0,4.863659775818177
54,"Orlando-Lakeland-Deltona, FL",712270.0,1943454.0,1081193.0,256734.0,4.855090294701844
55,"Harrisburg-York-Lebanon, PA",333388.0,491634.0,258066.0,175689.0,4.844736095766806
56,"Toledo-Findlay-Tiffin, OH",189393.0,338613.0,271458.0,34890.0,4.7858860362564775
57,"Rochester-Batavia-Seneca Falls, NY",336440.0,369661.0,385957.0,73017.0,4.763670872780948
58,"Memphis-Forrest City, TN-MS-AR",343745.0,519598.0,409460.0,92720.0,4.7574865762826875
59,"Bloomington-Bedford, IN",79084.0,57639.0,46978.0,29143.0,4.75626255552621
