Rank,Name,1 - Least Walkable,2 - Below Avg,3 - Above Avg,4 - Most Walkable,Avg Walkability Index
1,District of Columbia,0.0,28253.0,404356.0,260074.0,7.371049998795683
2,Rhode Island,97025.0,240406.0,438646.0,281154.0,6.31677939825828
3,California,2840295.0,8751318.0,19224053.0,8462764.0,6.27452795807293
4,Oregon,722250.0,720932.0,1647849.0,1038772.0,6.046048010165694
5,New Jersey,650122.0,2684329.0,3886757.0,1657295.0,6.00929027526849
6,New York,2512725.0,4986563.0,8184085.0,3832225.0,5.912860239982614
7,Massachusetts,942505.0,1866722.0,2600169.0,1441157.0,5.8541399542950465
8,Nevada,373874.0,899213.0,1289175.0,410120.0,5.674797660950923
9,Utah,319242.0,1069715.0,1231627.0,476264.0,5.673164855634536
10,Illinois,1943353.0,4289385.0,4549770.0,1988123.0,5.52264131415441
11,Washington,1586181.0,1837670.0,2788694.0,1191562.0,5.4839381852886735
12,Colorado,796718.0,2027814.0,2005682.0,780135.0,5.47823771747533
13,Hawaii,298413.0,350499.0,596305.0,176877.0,5.440575769178927
14,Maryland,1010075.0,1927279.0,2401826.0,679668.0,5.404696970688009
15,Florida,3207731.0,7925850.0,7564783.0,2203272.0,5.293953071676453
16,Arizona,1358179.0,2248324.0,2775246.0,635674.0,5.199633461937299
17,Connecticut,746699.0,1179324.0,1336222.0,312829.0,5.185176822103616
18,Pennsylvania,2697199.0,4731758.0,3567127.0,1795446.0,5.172306218090779
19,Delaware,213392.0,303551.0,348371.0,91934.0,5.123666572243942
20,Nebraska,367400.0,834070.0,548838.0,164263.0,4.975086269841569
21,Minnesota,1321723.0,2222117.0,1531993.0,487545.0,4.850605106617257
22,Virginia,2297187.0,2969626.0,2504663.0,676538.0,4.804523664876801
23,North Dakota,189995.0,325805.0,187403.0,53514.0,4.761000479703772
24,Texas,6297576.0,13141652.0,7071084.0,1750544.0,4.698239382118466
25,New Mexico,576717.0,772004.0,593920.0,149813.0,4.684884288219025
26,Wisconsin,1551918.0,2498422.0,1305975.0,434401.0,4.642597764748736
27,Vermont,190635.0,226829.0,166286.0,40563.0,4.63760439158934
28,Kansas,708874.0,1322724.0,731287.0,147767.0,4.608345547392998
29,Ohio,3293135.0,4997792.0,2742077.0,622393.0,4.500787249934628
30,Iowa,825992.0,1480856.0,697668.0,134992.0,4.47291754665146
31,Missouri,1678220.0,2860321.0,1247101.0,319268.0,4.456577764110321
32,Idaho,445205.0,896340.0,281097.0,95108.0,4.430931297826869
33,Montana,348200.0,454419.0,182566.0,65464.0,4.343393614703615
34,Oklahoma,1252787.0,1750018.0,797429.0,132636.0,4.272421425735297
35,Alaska,285940.0,241442.0,170828.0,30608.0,4.20224444887042
36,Michigan,3042116.0,4899930.0,1799586.0,223633.0,4.181640634005376
37,South Dakota,240391.0,459244.0,129040.0,27628.0,4.178441171555298
38,Indiana,2304061.0,2958139.0,1159556.0,243947.0,4.176198669517679
39,Georgia,3634163.0,4873823.0,1570769.0,325092.0,4.0917301172598135
40,North Carolina,3812979.0,4717069.0,1371339.0,363489.0,4.005034987886439
41,Wyoming,182856.0,318721.0,74698.0,4749.0,3.976763528927512
42,Kentucky,1952167.0,1522955.0,755257.0,218673.0,3.958972034349884
43,Louisiana,1764923.0,2201296.0,573813.0,124330.0,3.914992875767361
44,Maine,504188.0,668233.0,130402.0,32669.0,3.886377415490636
45,New Hampshire,409851.0,843712.0,84025.0,10536.0,3.8737566152356124
46,Tennessee,2937318.0,2568852.0,964986.0,238200.0,3.8689733371852997
47,South Carolina,1950325.0,2367654.0,575473.0,127354.0,3.8549079360439023
48,Arkansas,1295566.0,1377374.0,278326.0,48104.0,3.666453797402718
49,Alabama,2216788.0,2103934.0,461759.0,93769.0,3.6571561677842395
50,West Virginia,864719.0,797581.0,152857.0,2148.0,3.4933942235748456
51,Mississippi,1601156.0,1220188.0,151325.0,11749.0,3.297382102641118
52,Puerto Rico,2404976.0,913471.0,0.0,0.0,2.611911281962538
